title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
1993-94 Fleer #22 Alonzo Mourning,<p>This is a nice example of a 1993-94 Fleer #22 Alonzo Mourning <br><br><br>Other important information about this card:<br><br><br>In 1993 Alonzo Mourning played for the Charlotte Hornets.<br><br><br>Please check out our other listings for more great cards.</p>,1.34,1.34,BASKETBALL,Yes,1993,Fleer,1993-94 Fleer,,Alonzo Mourning,22,,Charlotte Hornets,,Near Mint or Better,No,,,,,,0,,,,,,,846,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518701-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518701-back.jpg
1994-95 Topps #172 Danny Ferry,<p>This is a nice example of a 1994-95 Topps #172 Danny Ferry <br><br><br>Other important information about this card:<br><br><br>In 1994 Danny Ferry played for the Cleveland Cavaliers.<br><br><br>Please check out our other listings for more great cards.</p>,4.98,4.98,BASKETBALL,Yes,1994,Topps,1994-95 Topps,,Danny Ferry,172,,Cleveland Cavaliers,,Near Mint or Better,No,,,,,,0,,,,,,,847,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518703-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518703-back.jpg
1994-95 Topps #196 Mark Price,<p>This is a nice example of a 1994-95 Topps #196 Mark Price <br><br><br>Other important information about this card:<br><br><br>In 1994 Mark Price played for the Cleveland Cavaliers.<br><br><br>Please check out our other listings for more great cards.</p>,0.99,0.67,BASKETBALL,Yes,1994,Topps,1994-95 Topps,,Mark Price,196,,Cleveland Cavaliers,,Near Mint or Better,No,,,,,,0,,,,,,,848,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518704-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518704-back.jpg
1995 Action Packed Hall of Fame #21 Nate Thurmond,<p>This is a nice example of a 1995 Action Packed Hall of Fame #21 Nate Thurmond <br><br><br>Other important information about this card:<br><br><br>In 1995 Nate Thurmond played for the Golden State Warriors.<br><br><br>Please check out our other listings for more great cards.</p>,1.52,1.52,BASKETBALL,Yes,1995,,1995 Action Packed Hall of Fame,,Nate Thurmond,21,,Golden State Warriors,,Near Mint or Better,No,,,,,,0,,,,,,,849,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518705-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518705-back.jpg
1994-95 Topps #71 Gary Grant,<p>This is a nice example of a 1994-95 Topps #71 Gary Grant <br><br><br>Other important information about this card:<br><br><br>In 1994 Gary Grant played for the Los Angeles Clippers.<br><br><br>Please check out our other listings for more great cards.</p>,0.99,0.99,BASKETBALL,Yes,1994,Topps,1994-95 Topps,,Gary Grant,71,,Los Angeles Clippers,,Near Mint or Better,No,,,,,,0,,,,,,,850,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518707-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518707-back.jpg
1994-95 Topps #122 Chris Mullin,<p>This is a nice example of a 1994-95 Topps #122 Chris Mullin <br><br><br>Other important information about this card:<br><br><br>In 1994 Chris Mullin played for the Golden State Warriors.<br><br><br>Please check out our other listings for more great cards.</p>,1.39,1.39,BASKETBALL,Yes,1994,Topps,1994-95 Topps,,Chris Mullin,122,,Golden State Warriors,,Near Mint or Better,No,,,,,,0,,,,,,,851,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518708-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518708-back.jpg
1994-95 Topps #17 Todd Day,<p>This is a nice example of a 1994-95 Topps #17 Todd Day <br><br><br>Other important information about this card:<br><br><br>In 1994 Todd Day played for the Milwaukee Bucks.<br><br><br>Please check out our other listings for more great cards.</p>,0.99,0.20,BASKETBALL,Yes,1994,Topps,1994-95 Topps,,Todd Day,17,,Milwaukee Bucks,,Near Mint or Better,No,,,,,,0,,,,,,,852,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518709-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518709-back.jpg
1993 Action Packed Hall of Fame #83 Lenny Wilkens,<p>This is a nice example of a 1993 Action Packed Hall of Fame #83 Lenny Wilkens <br><br><br>Other important information about this card:<br><br><br>In 1993 Lenny Wilkens played for the Portland Trail Blazers.<br><br><br>Please check out our other listings for more great cards.</p>,1.99,1.99,BASKETBALL,Yes,1993,,1993 Action Packed Hall of Fame,,Lenny Wilkens,83,,Portland Trail Blazers,,Near Mint or Better,No,,,,,,0,,,,,,,853,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518710-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518710-back.jpg
1998-99 Stadium Club #78 Gary Payton,<p>This is a nice example of a 1998-99 Stadium Club #78 Gary Payton <br><br><br>Other important information about this card:<br><br><br>In 1998 Gary Payton played for the Seattle SuperSonics.<br><br><br>Please check out our other listings for more great cards.</p>,0.99,0.92,BASKETBALL,Yes,1998,,1998-99 Stadium Club,,Gary Payton,78,,Seattle SuperSonics,,Near Mint or Better,No,,,,,,0,,,,,,,854,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518712-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518712-back.jpg
1996-97 Stadium Club #HR9 Jerry Stackhouse High Risers,<p>This is a nice example of a 1996-97 Stadium Club #HR9 Jerry Stackhouse High Risers <br><br><br>Other important information about this card:<br><br><br>In 1996 Jerry Stackhouse played for the Philadelphia 76ers.<br><br><br>Please check out our other listings for more great cards.</p>,3.00,3.00,BASKETBALL,Yes,1996,,1996-97 Stadium Club,High Risers,Jerry Stackhouse,HR9,,Philadelphia 76ers,,Near Mint or Better,No,,,,,,0,,,,,,,855,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518713-front.jpg,https://storage.googleapis.com/cdp-batches-prod/42580-870409/45518713-back.jpg
