Sales,01/01/2022-01/31/2022,02/01/2022-02/28/2022,03/01/2022-03/31/2022,04/01/2022-04/30/2022,05/01/2022-05/31/2022,06/01/2022-06/30/2022,07/01/2022-07/31/2022,08/01/2022-08/31/2022,09/01/2022-09/30/2022,10/01/2022-10/31/2022,11/01/2022-11/30/2022,12/01/2022-12/31/2022
Gross Sales,$0.00,"$2,674.73","$1,953.19",$516.00,"$1,059.00","$1,233.31",$757.57,"$1,036.12","$1,311.00","$1,250.41","$1,243.23","$1,002.00"
Returns,$0.00,-$920.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$217.00,$0.00,-$125.00,$0.00
Discounts & Comps,$0.00,-$0.06,-$0.04,-$0.03,-$0.02,-$0.02,$0.00,-$0.04,-$0.02,-$0.03,-$0.03,-$0.01
Net Sales,$0.00,"$1,754.44","$1,953.15",$515.97,"$1,058.98","$1,233.29",$757.57,"$1,036.08","$1,093.98","$1,250.38","$1,118.20","$1,001.99"
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$261.07,$216.41,$77.28,$158.59,$159.05,$76.37,$134.35,$102.86,$162.61,$154.56,$150.02
Tip,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash Rounding,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$0.00,"$2,015.51","$2,169.56",$593.25,"$1,217.57","$1,392.34",$833.94,"$1,170.43","$1,196.84","$1,412.99","$1,272.76","$1,152.01"

Payments
Total Collected,$0.00,"$2,015.51","$2,169.56",$593.25,"$1,217.57","$1,392.34",$833.94,"$1,170.43","$1,196.84","$1,412.99","$1,272.76","$1,152.01"
Fees,$0.00,-$64.16,-$69.20,-$20.48,-$40.97,-$48.75,-$26.02,-$39.92,-$41.58,-$48.11,-$42.30,-$39.38
Net Total,$0.00,"$1,951.35","$2,100.36",$572.77,"$1,176.60","$1,343.59",$807.92,"$1,130.51","$1,155.26","$1,364.88","$1,230.46","$1,112.63"
