Sales,01/01/2019-01/31/2019,02/01/2019-02/28/2019,03/01/2019-03/31/2019,04/01/2019-04/30/2019,05/01/2019-05/31/2019,06/01/2019-06/30/2019,07/01/2019-07/31/2019,08/01/2019-08/31/2019,09/01/2019-09/30/2019,10/01/2019-10/31/2019,11/01/2019-11/30/2019,12/01/2019-12/31/2019,01/01/2020-01/31/2020,02/01/2020-02/29/2020,03/01/2020-03/31/2020,04/01/2020-04/30/2020,05/01/2020-05/31/2020,06/01/2020-06/30/2020,07/01/2020-07/31/2020,08/01/2020-08/31/2020,09/01/2020-09/30/2020,10/01/2020-10/31/2020,11/01/2020-11/30/2020,12/01/2020-12/31/2020,01/01/2021-01/31/2021,02/01/2021-02/28/2021,03/01/2021-03/31/2021,04/01/2021-04/30/2021,05/01/2021-05/31/2021,06/01/2021-06/30/2021,07/01/2021-07/31/2021,08/01/2021-08/31/2021,09/01/2021-09/30/2021,10/01/2021-10/31/2021,11/01/2021-11/30/2021,12/01/2021-12/31/2021,01/01/2022-01/31/2022,02/01/2022-02/28/2022,03/01/2022-03/31/2022,04/01/2022-04/30/2022,05/01/2022-05/31/2022,06/01/2022-06/30/2022,07/01/2022-07/31/2022,08/01/2022-08/31/2022,09/01/2022-09/30/2022,10/01/2022-10/31/2022,11/01/2022-11/30/2022,12/01/2022-12/31/2022,01/01/2023-01/31/2023,02/01/2023-02/28/2023,03/01/2023-03/31/2023,04/01/2023-04/30/2023,05/01/2023-05/31/2023,06/01/2023-06/30/2023,07/01/2023-07/31/2023,08/01/2023-08/31/2023,09/01/2023-09/30/2023,10/01/2023-10/31/2023,11/01/2023-11/30/2023,12/01/2023-12/31/2023
Gross Sales,$0.00,$0.00,"$2,269.73","$1,148.73","$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00,$0.00,$2.31,$86.77,"$1,889.34",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47,$765.32,$870.94,"$1,375.69",$629.19,"$2,233.73",$974.50,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46,$0.00,"$2,674.73","$1,953.19",$516.00,"$1,059.00","$1,233.31",$757.57,"$1,036.12","$1,311.00","$1,250.41","$1,243.23","$1,002.00","$1,469.91",$44.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Returns,$0.00,$0.00,-$5.00,-$178.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$2.31,$0.00,-$136.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$41.63,-$101.07,-$301.08,-$28.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$920.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$217.00,$0.00,-$125.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$0.06,-$0.04,-$0.03,-$0.02,-$0.02,$0.00,-$0.04,-$0.02,-$0.03,-$0.03,-$0.01,-$0.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00,$0.00,$0.00,$86.77,"$1,752.66",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46,$0.00,"$1,754.44","$1,953.15",$515.97,"$1,058.98","$1,233.29",$757.57,"$1,036.08","$1,093.98","$1,250.38","$1,118.20","$1,001.99","$1,469.90",$44.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$261.07,$216.41,$77.28,$158.59,$159.05,$76.37,$134.35,$102.86,$162.61,$154.56,$150.02,$190.31,$6.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tip,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$5.39,-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash Rounding,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00,$0.00,$0.00,$86.77,"$1,747.27",-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46,$0.00,"$2,015.51","$2,169.56",$593.25,"$1,217.57","$1,392.34",$833.94,"$1,170.43","$1,196.84","$1,412.99","$1,272.76","$1,152.01","$1,660.21",$50.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Collected,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00,$0.00,$0.00,$86.77,"$1,747.27",-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46,$0.00,"$2,015.51","$2,169.56",$593.25,"$1,217.57","$1,392.34",$833.94,"$1,170.43","$1,196.84","$1,412.99","$1,272.76","$1,152.01","$1,660.21",$50.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
