Product identifier,Identifier type,Cost USD,Comments
786936812763,UPC,1,26800
891264001311,UPC,1,26801
043396184879,UPC,1,26802
065935221388,UPC,1,26803
065935579397,UPC,1,26804
024543029748,UPC,1,26805
024543080480,UPC,1,26806
043396057319,UPC,1,26807
024543450245,UPC,1,26808
778854183094,UPC,1,26809
057373213216,UPC,1,26810
065935803027,UPC,1,26811
774212000027,UPC,1,26812
043396087132,UPC,1,26813
012569506329,UPC,1,26814
085392772124,UPC,1,26815
085393884611,UPC,1,26816
024543484394,UPC,1,26817
065935819509,UPC,1,26818
085391477624,UPC,1,26819
043396094321,UPC,1,26820
097363348740,UPC,1,26821
024543519065,UPC,1,26822
025192699924,UPC,1,26823
794043520228,UPC,1,26824
090328301682,UPC,1,26825
043396156029,UPC,1,26826
779836186294,UPC,1,26827
012569431829,UPC,1,26828
027616152558,UPC,1,26829
027616152541,UPC,1,26830
027616152534,UPC,1,26831
027616152510,UPC,1,26832
883904285342,UPC,1,26833
043396226777,UPC,1,26834
043396056077,UPC,1,26835
043396051492,UPC,1,26836
097361179261,UPC,1,26837
678149083323,UPC,1,26838
085391872221,UPC,1,26839
738329073626,UPC,1,26840
012569101326,UPC,1,26841
054961804894,UPC,1,26842
043396285279,UPC,1,26843
065935803218,UPC,1,26844
025195009010,UPC,1,26845
085365801028,UPC,1,26846
032429067081,UPC,1,26847
027616813022,UPC,1,26848
027616921932,UPC,1,26849
085391253228,UPC,1,26850
717951005465,UPC,1,26851
883904102885,UPC,1,26852
024543698050,UPC,1,26853
807581508945,UPC,1,26854
085392118724,UPC,1,26855
085392341825,UPC,1,26856
085392330126,UPC,1,26857
012569590441,UPC,1,26858
097361312767,UPC,1,26859
883929106288,UPC,1,26860
097360289961,UPC,1,26861
