[23-Oct-2025 17:52:04 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "STDERR" in /home/n7f9655/public_html/phoenixliquidation/interne/migrate_shopmanager_oc4.php:24
Stack trace:
#0 [internal function]: {closure}()
#1 {main}
  thrown in /home/n7f9655/public_html/phoenixliquidation/interne/migrate_shopmanager_oc4.php on line 24
[23-Oct-2025 17:53:46 UTC] [ERROR] Backup échoué: ai.php
[23-Oct-2025 17:53:46 UTC] [ERROR] Backup échoué: alert_popup.php
[23-Oct-2025 17:53:46 UTC] [ERROR] Backup échoué: category.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: category_ebay.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: category_specific.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: condition.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: connect.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: ebay.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: fast_add.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: google.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: inventory.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: list_fast.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: manufacturer.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: marketplace.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: marketplace_error_popup.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: ocr.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: opencart.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: order.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: print_report.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: product.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: product_search.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: product_specific.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: shipping.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: syncebay.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: tools.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: translate.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: wait_popup.php
[23-Oct-2025 17:53:47 UTC] [ERROR] Backup échoué: walmart.php
