"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in Amazon US","Recommended in Amazon CA","Recommended in eBay US","Recommended in Walmart US","MSRP (USD)","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Shipping to US by:","Shipping cost to US","Taxonomy: Amazon US Category Tree","Amazon US Total Sales (USD)","Amazon US Estimated Unit Sales Per Month","Amazon US Sales Estimated On","Amazon US Price (USD)","Amazon US Buy Box Price (USD)","Amazon US Seller Offer : Id","Amazon US Seller Offer : Name","Amazon US Seller Offer : Price","Amazon US Seller Offer : Is Prime Eligible","Amazon US Seller Offer : Is Buy Box Winner","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Promotions : Frequently Bought Together","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (USD)","Amazon US Market fee (USD)","Amazon US FBA fee (USD)","Amazon US Tax (USD)","Amazon US Insights","Is identified in Amazon CA","Identification type Amazon CA","Amazon CA ASIN","Shipping to CA by:","Shipping cost to CA","Taxonomy: Amazon CA Category Tree","Amazon CA Total Sales (USD)","Amazon CA Estimated Unit Sales Per Month","Amazon CA Price (USD)","Amazon CA Buy Box Price (USD)","Offered by Amazon CA","Amazon CA is FBA","Amazon CA Listing URL","Amazon CA Demand","Amazon CA % Profit","Amazon CA Local Category Name","Amazon CA Local Amazon Rank","Amazon CA Local Sub Category Name","Amazon CA Local Sub Category Rank","Amazon CA Offerings","Amazon CA % Profit","Amazon CA Profit (USD)","Amazon CA Market fee (USD)","Amazon CA FBA fee (USD)","Amazon CA Tax (USD)","Amazon CA Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: eBay US Category Tree","eBay US Total Sales (USD)","eBay US Estimated Unit Sales Per Month","eBay US Price (USD)","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US Local Category Name","eBay US Local Amazon Rank","eBay US % Profit","eBay US Profit (USD)","eBay US Market fee (USD)","eBay US PayPal fee (USD)","eBay US Tax (USD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: Walmart US Category Tree","Walmart US Total Sales (USD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (USD)","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US Local Category Name","Walmart US Local Amazon Rank","Walmart US % Profit","Walmart US Profit (USD)","Walmart US Market fee (USD)","Walmart US Tax (USD)","Walmart US Insights","Brand Name","Model","Color","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Size","Enhanced Data: Part Number","Enhanced Data: Release Date","Enhanced Data: Actors","Enhanced Data: Aspect Ratio","Enhanced Data: Audience Rating","Enhanced Data: Bluray Region","Enhanced Data: Contributors","Enhanced Data: Directors","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Formats","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Is Adult Product","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Number Of Discs","Enhanced Data: Number Of Items","Enhanced Data: Operating Systems","Enhanced Data: Pegi Rating","Enhanced Data: Platforms","Enhanced Data: Publisher","Enhanced Data: Running Time","Enhanced Data: Studio","Enhanced Data: Theatrical Release Date","Image URL"
"883929158249","true","1.0","US","AIDIFDTI6001","Mortal Kombat - Playstation 3","Mortal Kombat - Playstation 3","[883929158867;883929189366;883929158249;883929182800;00883929158867;783651539838]","[0883929182800;0883929158867;5051892047463;0883929189366;0883929158249;0783651539838]","B003O6E1JS","B004IK89F6","true","true","true","true","true","19.99","true","ID","B003O6E1JS","USPS","3.79","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","1799.5","50",,"35.99",,"A18CKSG4VCPHVN","MYLASA STORE","44.55","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B003O6E1JS?th=1&psc=1","MEDIUM","72.0","Video Games","42171","Games","693","B0017ZIIK6;B006ZTHFPS;B003O6E1JS","6","72.0","25.80","5.40","3.15","0.00","Cross channel competition","true","ID","B003O6E1JS","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","1460.68","26","56.18","56.18"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B003O6E1JS","MEDIUM","46.0","Video Games","42171","Games","693","3","46.0","25.59","7.84","3.45","5.29","Listing price includes shipping","true","keywords","226153676630","USPS","3.79","Video Games & Consoles","0.0","0","34.37","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=226153676630","MEDIUM","76.0",,,"76.0","26.22","2.06","1.30","0.00","Listing price includes shipping ; Listing identified using keywords ; Cross channel competition","true","ID","15237605","USPS","3.79","Video Games > Video Game Titles","544.01","19","27.97","https://www.walmart.com/ip/15237605","MEDIUM","68.0",,,"68.0","18.98","4.20","0.00",,"WB Games","1000170360","One Color","0.59","6.69","5.28","0.20","5.4","0.6","6.7","0.25","OFFICIAL","One Size","1000170360","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/71NmSk+w0tL.jpg"
"710425377822","true","1.0","US","Could not identify the product from a valid resource",,,"[710425377822]","[0710425377822]","B003E470M0",,"true",,"true","false",,"29.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B003E470M0","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","174.1","5","34.82","32.27"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B003E470M0","MEDIUM","27.0","Video games","18898","Games","292","2","27.0","9.24","4.84","3.45","3.28","Listing price includes shipping ; Displaying lowest price from a high-ranked seller","true","keywords","135055262844","USPS","4.21","Video Games & Consoles","0.0","0","32.56","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=135055262844","UNAVAILABLE","74.0",,,"74.0","24.16","1.95","1.24","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,"2K","710425377822",,,,,"0.35","5.3","0.6","6.7","0.35","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/81D4vsEx27L.jpg"
"191329107737","true","1.0","US","AIDFEJ57I001","Captive State (Blu-ray)",,"[191329107737]","[0191329107737]","B07PS6PYKL",,"false","false","false","false",,"0.0","true","ID","B07PS6PYKL","USPS","3.79",,"251.72","14",,"17.98","18.98","ABLI0FL268ZL4","Outlet Promotions","18.98","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B07PS6PYKL","LOW","62.0","Movies & TV","54818","Movies & TV","54818",,"2","62.0","11.09","2.10","3.15","0.00","Listing price includes shipping","true","ID","B07PS6PYKL","USPS","16.46",,"43.95","3","14.65","14.65"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B07PS6PYKL","MEDIUM","-40.0","Dvd","51842",,,"2","-40.0","-5.84","1.65","3.27","1.38","Listing price includes shipping","true","keywords","305338583750","USPS","3.79","DVDs & Movies","0.0","0","18.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=305338583750","LOW","61.0",,,"61.0","11.64","1.71","0.85","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,,,,"0.18","5.28","0.55","6.61","0.18","OFFICIAL",,"0","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51009QDsiAL._SL75_.jpg"
"043396467132","true","1.0","US","AID47R1Z7001","Joe Dirt 2: Beautiful Loser (Extended Edition) (Blu-ray)","<b>JOE DIRT <i> 2</i> DESCRIPTION</b><br> Many of the original actors will be reprising their roles as the Iconic acquaintances to the perpetual underdog of the films Namesake. According to Spade this film will be aired Directly to the website Crackle in the summer of 2015. He also stated his decision to don the Mullet once again was due to fan pressure as the original encroaches on cult status.","[043396467132]","[0043396467132]","B017HMB67O",,"false","false","false","false",,"19.99","true","ID","B017HMB67O","USPS","3.79",,"0.0","0",,"20.22","20.22","AWZI6BA70DZZD","M + L","14.23","false","true"," Yes but currently out of stock","false","https://www.amazon.com/dp/B017HMB67O","LOW","66.0","Movies & TV","159802","Movies & TV","159802","B00WS4T4VC;B017HMB67O","1","66.0","13.30","2.13","3.15","0.00","Listing price includes shipping ; Listed by a low ranked seller","true","ID","B017HMB67O","USPS","16.46",,"38.12","4","9.53","7.33"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B017HMB67O","LOW","-108.0","Movies & TV","159802","Movies & TV","159802","5","-108.0","-10.25","1.43","3.27","0.90","Displaying lowest price from a high-ranked seller","true","keywords","196407158696","USPS","3.79","DVDs & Movies","0.0","0","17.49","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=196407158696","LOW","59.0",,,"59.0","10.32","1.57","0.81","0.00","Listing identified using keywords ; Listed by a low ranked seller","false",,,,,,,,,,,,,,,,,,,,,,,,,,"5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","[""David Spade"",""Brittany Daniel"",""Christopher Walken"",""Mark McGrath"",""Patrick Warburton""]","1.78:1","PG-13 (Parents Strongly Cautioned)","region_a","Data could not be retrieved","[""Fred Wolf""]","Data could not be retrieved","Data could not be retrieved","[""Blu-ray""]","Data could not be retrieved","Data could not be retrieved","false","Data could not be retrieved","[{""languageName"":""thai"",""type"":""Subtitled""},{""languageName"":""mandarin_chinese"",""type"":""Subtitled""},{""languageName"":""indonesian"",""type"":""Subtitled""},{""languageName"":""korean"",""type"":""Subtitled""},{""languageName"":""english"",""type"":""Subtitled""},{""languageName"":""portuguese"",""type"":""Subtitled""},{""languageName"":""french"",""type"":""Subtitled""},{""languageName"":""spanish"",""type"":""Subtitled""},{""languageName"":""thai"",""type"":""Dubbed""},{""languageName"":""portuguese"",""type"":""Dubbed""},{""languageName"":""french"",""type"":""Dubbed""},{""languageName"":""spanish"",""type"":""Dubbed""},{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""english"",""type"":""Subtitles for the Hearing Impaired""}]","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/612StLNF5iL._SL75_.jpg"
"625828626876","true","1.0","US","AIDDH6LE6001","Jamesy Boy",,"[625828626876]","[0625828626876]","B00HED9G38",,"false","false","false","false",,"0.0","true","ID","B00HED9G38","USPS","3.79",,,,,,,,,,,,,,"https://www.amazon.com/dp/B00HED9G38","LOW",,"Movies & TV","186294","Movies & TV","186294",,,,,,,,"Out of Stock listing","true","ID","B00HED9G38","USPS","16.46",,"0.0","0",,,,,"https://www.amazon.ca/dp/B00HED9G38","LOW",,"Movies & TV","186294","Movies & TV","186294",,,,,,,"Out of Stock listing","true","keywords","195514121890","USPS","3.79","DVDs & Movies","0.0","0","10.23","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=195514121890","LOW","38.0",,,"38.0","3.92","0.92","0.60","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,,,,"0.18","5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","[""Spencer Lofranco"",""Mary-Louise Parker"",""James Burns"",""Ving Rhames"",""James Woods""]","Data could not be retrieved","NR (Not Rated)","Data could not be retrieved","Data could not be retrieved","[""Trevor White""]","Data could not be retrieved","Data could not be retrieved","[""DVD""]","Data could not be retrieved","Data could not be retrieved","false","Imports","[{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""french"",""type"":""Original Language""},{""languageName"":""english"",""type"":""Subtitles for the Hearing Impaired""}]","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Imports","Data could not be retrieved","Imports","Data could not be retrieved","https://m.media-amazon.com/images/I/61v5vKnesxL._SL75_.jpg"
"043396473577","true","1.0","US","AID455VQJ001","Stealing Cars (Bilingual)",,"[043396473577]","[0043396473577]","B01B36Z5PE",,"false","false","false",,"false","8.0","true","ID","B01B36Z5PE","USPS","3.79","Movies & TV > Movies",,,,"12.99","12.99","A20FATMMR7LP9Z","Just 4 Games Inc","8.00","false","true"," Yes but currently out of stock","false","https://www.amazon.com/dp/B01B36Z5PE","UNAVAILABLE","54.0","Movies & TV",,"Movies",,,"2","54.0","7.00","1.20","2.38","0.00","Listing price includes shipping","true","ID","B01B36Z5PE","USPS","16.46",,"43.98","2","21.99",," Yes but currently out of stock","false","https://www.amazon.ca/dp/B01B36Z5PE","MEDIUM","1.0","Dvd","154860",,,"2","1.0","0.26","2.20","3.27","2.07","Listing price includes shipping","false",,,,,,,,,,,,,,,,,,,,"true","ID","975711556","USPS","3.79",,"0.0","0","8.00","https://www.walmart.com/ip/975711556","UNAVAILABLE","25.0",,,"25.0","2.01","1.20","0.00",,"Sony Pictures",,,,,,,"5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/91VbdCqclPL.jpg"
"711719810926","true","1.0","US","AIDA5LD71001","MLB 07: The Show","MLB 07 The Show makes the transition to next-gen and establish its position as most valuable player in the baseball category with an outstanding set of features and innovative gameplay functionality. Already widely considered the most authentic baseball simulation available, the franchise now introduces the all-new Road to The Show mode, enabling gamers to play both offense and defense from the created players perspective. MLB 07 The Show adds to its already robust online feature set and delivers Online League Play, which offers the ability to set up customizable leagues with up to 30 teams, complete with full stat tracking, point benefits and rewards. Additionally, the My Sliders feature allows users to create their perfect game settings and upload them to the MLB 07 The Show server for others to try out. *DLC (Downloadable Content) may not be included and is not guaranteed to work*","[711719810926;827307951442]","[0711719810926;0827307951442]","B000K9Q5U0",,"true","false","false","true","true","39.99","true","ID","B000K9Q5U0","USPS","4.21","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","799.8","20","2024-05-27",,,,,,,,,,"https://www.amazon.com/dp/B000K9Q5U0","MEDIUM",,"Video Games","19882","PlayStation 3 Games","196",,,,,,,,"Out of Stock listing","true","ID","B000K9Q5U0","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","0.0","0",,,,,"https://www.amazon.ca/dp/B000K9Q5U0","MEDIUM",,"Video Games","19882","PlayStation 3 Games","196",,,,,,,"Out of Stock listing","true","keywords","194450954478","USPS","4.21","Video Games & Consoles","0.0","0","29.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=194450954478","MEDIUM","73.0",,,"73.0","21.81","1.80","1.17","0.00","Listing identified using keywords ; Cross channel competition","true","ID","5334372","USPS","4.21","Video Games > Video Game Titles","0.0","0","23.97","https://www.walmart.com/ip/5334372","MEDIUM","63.0",,,"63.0","15.16","3.60","0.00",,"PlayStation","98109",,"5.75","0.51","7.76","0.31","5.43","0.55","7.01","0.31","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/61HlNF25XUL.jpg"
"043396563346","true","1.0","US","Could not identify the product from a valid resource",,,"[043396563346]","[0043396563346]","B081JNG4NC",,"false",,"false","false",,"14.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B081JNG4NC","USPS","16.46",,"40.15","5","8.03",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B081JNG4NC","MEDIUM","-137.0","Dvd","11272","Dvd","11272","8","-137.0","-11.01","0.82","2.87","0.76","Listing price includes shipping","true","keywords","124487857728","USPS","3.79","DVDs & Movies","0.0","0","15.29","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=124487857728","UNAVAILABLE","55.0",,,"55.0","8.38","1.38","0.74","0.00","Listing price includes shipping ; Listing identified using keywords ; Listed by a low ranked seller","false",,,,,,,,,,,,,,,,,,,"Sony Pictures",,,,,,"0.15","5.28","0.47","7.4","0.15","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/91vRt-0fIXL.jpg"
"014633364675","true","1.0","US","Could not identify the product from a valid resource",,,"[014633364675]","[0014633364675]","B0037QGOQS",,"false",,"false",,,"34.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B0037QGOQS","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","0.0","0",,,,,"https://www.amazon.ca/dp/B0037QGOQS","MEDIUM",,"Video games","41116","Games","936",,,,,,,"Out of Stock listing","false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,"Electronic Arts","014633364675",,,,,"0.25","5.3","0.6","6.7","0.25","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/71hdX1bMrmL.jpg"
"711719502807","true","1.0","US","Could not identify the product from a valid resource",,"GT SPORT | PS4 (RECD)","[711719502807]",,"B01E0CJT96",,"true",,"true","false","false","62.14","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B01E0CJT96",,,"Video Games > PlayStation 4 > Games","296.91","9","32.99",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B01E0CJT96","HIGH","73.0","Video games","8276","Games","490","3","73.0","23.94","4.95","3.27","3.11",,"true","keywords","296427806766",,,"Video Games & Consoles","0.0","0","26.32","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=296427806766","UNAVAILABLE","86.0",,,"86.0","22.68","1.58","1.06","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","889201790",,,"Video Games > Video Game Titles","0.0","0","19.99","https://www.walmart.com/ip/889201790","UNAVAILABLE","80.0",,,"80.0","15.99","3.00","0.00",,"Polyphony Digital","VIPRB-Gran Turismo Sport (PlayStation 4)",,,,,,,,,,,,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i5.walmartimages.com/seo/PlayStation-Gran-Turismo-Sport-PlayStation-4_45737f0a-c41d-4961-ad2e-ef8c615512e7_1.e695b8d1a06057f597ecb276b97b0c40.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
