"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in Amazon US","Recommended in Amazon CA","Recommended in eBay US","Recommended in Walmart US","MSRP (USD)","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Shipping to US by:","Shipping cost to US","Taxonomy: Amazon US Category Tree","Amazon US Total Sales (USD)","Amazon US Estimated Unit Sales Per Month","Amazon US Price (USD)","Amazon US Buy Box Price (USD)","Amazon US Seller Offer : Id","Amazon US Seller Offer : Name","Amazon US Seller Offer : Price","Amazon US Seller Offer : Is Prime Eligible","Amazon US Seller Offer : Is Buy Box Winner","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Promotions : Frequently Bought Together","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (USD)","Amazon US Market fee (USD)","Amazon US FBA fee (USD)","Amazon US Tax (USD)","Amazon US Insights","Is identified in Amazon CA","Identification type Amazon CA","Amazon CA ASIN","Shipping to CA by:","Shipping cost to CA","Taxonomy: Amazon CA Category Tree","Amazon CA Total Sales (USD)","Amazon CA Estimated Unit Sales Per Month","Amazon CA Price (USD)","Amazon CA Buy Box Price (USD)","Offered by Amazon CA","Amazon CA is FBA","Amazon CA Listing URL","Amazon CA Demand","Amazon CA % Profit","Amazon CA Local Category Name","Amazon CA Local Amazon Rank","Amazon CA Local Sub Category Name","Amazon CA Local Sub Category Rank","Amazon CA Offerings","Amazon CA % Profit","Amazon CA Profit (USD)","Amazon CA Market fee (USD)","Amazon CA FBA fee (USD)","Amazon CA Tax (USD)","Amazon CA Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: eBay US Category Tree","eBay US Total Sales (USD)","eBay US Estimated Unit Sales Per Month","eBay US Price (USD)","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US Local Category Name","eBay US Local Amazon Rank","eBay US % Profit","eBay US Profit (USD)","eBay US Market fee (USD)","eBay US PayPal fee (USD)","eBay US Tax (USD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: Walmart US Category Tree","Walmart US Total Sales (USD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (USD)","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US % Profit","Walmart US Profit (USD)","Walmart US Market fee (USD)","Walmart US Tax (USD)","Brand Name","Model","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Enhanced Data: Part Number","Enhanced Data: Audience Rating","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Platforms","Enhanced Data: Publisher","Enhanced Data: Studio","Image URL"
"191329107737","true","1.0","US","AIDFEJ57I001","Captive State (Blu-ray)",,"[191329107737]","[0191329107737]","B07PS6PYKL",,"false","false","false","false",,"0.0","true","ID","B07PS6PYKL","USPS","3.79",,"0.0","0","17.98","18.98","ABLI0FL268ZL4","Outlet Promotions","18.98","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B07PS6PYKL","LOW","62.0","Movies & TV","120715","Movies & TV","120715",,"2","62.0","11.09","2.10","3.15","0.00","Listing price includes shipping","true","ID","B07PS6PYKL","USPS","16.46",,"43.95","3","14.65","14.65"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B07PS6PYKL","LOW","-40.0","Dvd","53546",,,"2","-40.0","-5.84","1.65","3.27","1.38","Listing price includes shipping","true","keywords","305338583750","USPS","3.79","DVDs & Movies","0.0","0","18.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=305338583750","LOW","61.0",,,"61.0","11.64","1.71","0.85","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,"0.18","5.28","0.55","6.61","0.18","OFFICIAL","0","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51009QDsiAL.jpg"
"025192252198","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"074645885797","true","1.0","US","AIDY09I02001","Sesame Street: All-Star Alphabet",,"[074645885797]","[0074645885797;9780738931890]","B0008FXSZ6",,"false","false","false","false","false","12.99","true","ID","B0008FXSZ6","USPS","3.79",,"285.12","22","12.96","14.43","A28UJI6WF5GIHS","TheZoneShop","14.43","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B0008FXSZ6","LOW","53.0","Movies & TV","73383","Movies & TV","73383","B0001OGUQS;B0008FXSZ6;B01E840P5I","7","53.0","6.82","1.35","2.38","0.00","Listing price includes shipping","true","ID","B0008FXSZ6","USPS","16.46",,"65.94","3","21.98","28.90"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B0008FXSZ6","LOW","11.0","Movies & TV","73383","Movies & TV","73383","6","11.0","2.45","0.00",,"2.07","Listing price includes shipping","true","keywords","325346931038","USPS","3.79","DVDs & Movies","0.0","0","6.98","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=325346931038","LOW","15.0",,,"15.0","1.06","0.63","0.50","0.00","Listing identified using keywords ; Listing price includes shipping","true","ID","14245689","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","14.44","https://www.walmart.com/ip/14245689","LOW","52.0","52.0","7.48","2.17","0.00","Warner Home Video","MFR074645885797#VG","7.5","5.4","0.7","0.17","5.47","0.55","7.56","0.19","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/81GH0r4yWNL.jpg"
"888235024936","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"883929094981","true","1.0","US","AID5MD7A1001","Terminator: Salvation","<B>Terminator Salvation (2009) </B><BR>Although Judgment Day has in fact occurred, the future for which John Connor (Christian Bale) was prepared has been partly altered by the appearance of a stranger named Marcus Wright (Sam Worthington). Connor must determine if Wright has been rescued from the past, or sent from the future. As the machines prepare for a final battle, Connor and Wright delve deep into Skynet's heart, uncovering a secret that could lead to the annihilation of mankind.","[883929094981]","[0883929094981]","B002Q4GIJ0",,"false","false","false","false","false","0.0","true","ID","B002Q4GIJ0","USPS","3.79",,"0.0","0","7.49","7.49","A1F0UEKE5KZJK1","QUICK CLIX","7.49","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B002Q4GIJ0","LOW","36.0","Movies & TV","116938","Movies & TV","116938","B002Q4GIJ0;B01013I9DU;B07YTD2PM2","6","36.0","2.70","0.00","2.38","0.00",,"true","ID","B002Q4GIJ0","USPS","16.46",,"23.4","4","5.85","5.86"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B002Q4GIJ0","MEDIUM","-216.0","Dvd","27873",,,"14","-216.0","-12.65","0.49","2.87","0.55","Listing price includes shipping","true","keywords","285152876081","USPS","3.79","DVDs & Movies","57.78","11","4.87","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=285152876081","LOW","-16.0",,,"-16.0","-0.80","0.44","0.44","0.00","Listing identified using keywords ; Listing price includes shipping","true","ID","197975732","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","13.26","https://www.walmart.com/ip/197975732","LOW","49.0","49.0","6.48","1.99","0.00",,,,,,"0.18","5.42","0.58","7.1","0.18","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51Xd-9fHWfL.jpg"
"025192272561","true","1.0","US","AID9N2T02001","Always (1989)",,"[025192272561]","[0025192272561]","B00TG7TFU4",,"false","false","false",,,,"true","ID","B00TG7TFU4","USPS","3.79","Movies & TV > Movies",,,,,,,,,,,,"https://www.amazon.com/dp/B00TG7TFU4","UNAVAILABLE",,"Movies & TV",,"Movies",,,,,,,,,"Out of Stock listing","true","ID","B00TG7TFU4","USPS","16.46",,"99.0","9","11.00","11.00"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B00TG7TFU4","MEDIUM","-83.0","Dvd","13985",,,"3","-83.0","-9.15","1.65","3.27","1.04","Listed by a low ranked seller","false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,"JEWUNO",,,,,,"5.42","0.58","7.1","0.18","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51FCmNduxbL.jpg"
"786936863710","true","1.0","US","Could not identify the product from a valid resource",,,"[786936863710]","[0786936863710]","B07R63GWG1",,"false",,"false","false","false","26.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B07R63GWG1","USPS","16.46",,"159.0","10","15.90",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B07R63GWG1","MEDIUM","-34.0","Dvd","7883",,,"7","-34.0","-5.44","2.38","3.27","1.50","Displaying lowest price from a high-ranked seller","true","keywords","276478448524","USPS","3.79","DVDs & Movies","0.0","0","18.30","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=276478448524","UNAVAILABLE","60.0",,,"60.0","11.03","1.65","0.83","0.00","Listing identified using keywords ; Listing price includes shipping","true","ID","126248446","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","24.95","https://www.walmart.com/ip/126248446","UNAVAILABLE","66.0","66.0","16.42","3.74","0.00","WALT DISNEY",,,,,"0.18","5.51","0.55","7.09","0.18","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/91C9EJq2wHL.jpg"
"043396563346","true","1.0","US","Could not identify the product from a valid resource",,,"[043396563346]","[0043396563346]","B081JNG4NC",,"false",,"false","false",,"14.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B081JNG4NC","USPS","16.46",,"40.2","5","8.04","8.04"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B081JNG4NC","MEDIUM","-137.0","Dvd","16129","Dvd","16129","8","-137.0","-11.00","0.82","2.87","0.76","Listing price includes shipping","true","keywords","124487857728","USPS","3.79","DVDs & Movies","0.0","0","15.33","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=124487857728","UNAVAILABLE","55.0",,,"55.0","8.42","1.38","0.74","0.00","Listing identified using keywords ; Listing price includes shipping ; Listed by a low ranked seller","false",,,,,,,,,,,,,,,,"Sony Pictures",,,,,"0.15","5.28","0.47","7.4","0.15","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/91vRt-0fIXL.jpg"
"025192186011","true","1.0","US","Could not identify the product from a valid resource",,,"[025192186011]","[0025192186011]","B00BYS0ZE8",,"true",,"true",,,"14.99","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B00BYS0ZE8","USPS","16.46",,"182.95","5","36.59",," Yes but currently out of stock","false","https://www.amazon.ca/dp/B00BYS0ZE8","MEDIUM","32.0","Dvd","15465",,,"1","32.0","11.85","3.84","3.27","3.45","Listing price includes shipping","false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,"5.42","0.58","7.1","0.18","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/91jrK4QqTrL.jpg"
"008888344308","true","1.0","US","AID3YH652001","Shaun White Snowboarding - Playstation 3","Shaun White Snowboarding - Playstation 3","[008888344308]","[0008888344308]","B001B1W3K2","B001EYUYCU","true","false","true","false","false","19.99","true","ID","B001B1W3K2","USPS","4.21","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","670.51","19","35.29",,"A1EFRB7DGEJ6TE","Media Supplies Outlet","35.44","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B001B1W3K2","LOW","72.0","Video Games","88205","PlayStation 3 Games","1759",,"5","72.0","25.49","4.59","3.33","0.00","Listing price includes shipping","true","ID","B001B1W3K2","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","174.84","4","43.71","43.71"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B001B1W3K2","MEDIUM","37.0","Video games","11146","Games","156","5","37.0","16.19","5.94","3.46","4.12","Listing price includes shipping","true","keywords","176075545751","USPS","4.21","Video Games & Consoles","0.0","0","17.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=176075545751","LOW","60.0",,,"60.0","10.88","1.08","0.82","0.00","Listing identified using keywords","true","ID","10190865","USPS","4.21","Video Games > Video Game Titles","172.58","7","22.19","https://www.walmart.com/ip/10190865","LOW","62.0","62.0","13.65","3.33","0.00","Ubisoft","34430","5.25","0.5","6.75","0.26","5.3","0.6","6.7","0.40","OFFICIAL","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51g0gEQWavL.jpg"
