"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in Amazon US","Recommended in eBay US","Recommended in Walmart US","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Shipping to US by:","Shipping cost to US","Amazon US Total Sales (CAD)","Amazon US Estimated Unit Sales Per Month","Amazon US Price (CAD)","Amazon US Buy Box Price (CAD)","Amazon US Seller Offer : Id","Amazon US Seller Offer : Name","Amazon US Seller Offer : Price","Amazon US Seller Offer : Is Prime Eligible","Amazon US Seller Offer : Is Buy Box Winner","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (CAD)","Amazon US Market fee (CAD)","Amazon US FBA fee (CAD)","Amazon US Tax (CAD)","Amazon US Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","eBay US Total Sales (CAD)","eBay US Estimated Unit Sales Per Month","eBay US Price (CAD)","eBay US Seller Offer : Id","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US % Profit","eBay US Profit (CAD)","eBay US Market fee (CAD)","eBay US PayPal fee (CAD)","eBay US Tax (CAD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Shipping to US by:","Shipping cost to US","Walmart US Total Sales (CAD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (CAD)","Walmart US Seller Offer : Name","Walmart US Seller Offer : Price","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US % Profit","Walmart US Profit (CAD)","Walmart US Market fee (CAD)","Walmart US Tax (CAD)","Walmart US Insights","Brand Name","Model","Color","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Size","Enhanced Data: Part Number","Enhanced Data: Release Date","Enhanced Data: Actors","Enhanced Data: Artists","Enhanced Data: Aspect Ratio","Enhanced Data: Audience Rating","Enhanced Data: Bluray Region","Enhanced Data: Contributors","Enhanced Data: Directors","Enhanced Data: Display Size","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Formats","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Is Adult Product","Enhanced Data: Is Autographed","Enhanced Data: Is Memorabilia","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Manufacturer Maximum Age","Enhanced Data: Manufacturer Minimum Age","Enhanced Data: Material Types","Enhanced Data: Number Of Discs","Enhanced Data: Number Of Items","Enhanced Data: Number Of Pages","Enhanced Data: Operating Systems","Enhanced Data: Pegi Rating","Enhanced Data: Platforms","Enhanced Data: Publication Date","Enhanced Data: Publisher","Enhanced Data: Running Time","Enhanced Data: Scent","Enhanced Data: Studio","Enhanced Data: Theatrical Release Date","Image URL"
"771171138617","true","1.0","US","AIDBSOL02001","WowWee Untamed Dragon – Wildfire (Red) (3861)","WowWee Untamed Dragon – Wildfire (Red) (3861)","[771171138617]","[0771171138617]","B07HJLS7R3",,"false","false","false","false","true","ID","B07HJLS7R3","USPS","4.34","0.0","0",,,,,,,,,,"https://www.amazon.com/dp/B07HJLS7R3?th=1&psc=1","LOW",,"Toy","296984","Fantastic Creatures","129",,,,,,,"Out of Stock listing","true","keywords","185354500840","USPS","4.34","0.0","0","33.36",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=185354500840","LOW","67.0","67.0","22.43","3.01","1.35","0.00","Listing identified using keywords ; Listing price includes shipping","true","ID","744238847","USPS","4.34","0.0","0","19.07",,,"https://www.walmart.com/ip/744238847","LOW","50.0","50.0","9.62","2.86","0.00",,"WowWee","3861","Red","2.31","5.9","4.0","0.22","5.87","2.72","8.7","0.51","OFFICIAL",,"3861","2019-03-01","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","false","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","{""value"":180.0,""unitType"":""months""}","{""value"":60.0,""unitType"":""months""}","[""Plastic""]","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","https://m.media-amazon.com/images/I/41afyjyZACL.jpg"
"824255026765","true","1.0","US","AID8EKN71001","Little Witch","Little Witch","[824255026765]","[0824255026765]","B07W7GYD8G",,"false","false","false",,"true","ID","B07W7GYD8G","USPS","3.37",,,,,,,,,,,,"https://www.amazon.com/dp/B07W7GYD8G","UNAVAILABLE",,"Movies",,,,,,,,,,"Out of Stock listing","true","keywords","124379050028","USPS","3.37","30.0","1","21.20",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=124379050028","UNAVAILABLE","61.0","61.0","12.96","1.90","1.00","0.00","Displaying lowest price from a high-ranked seller ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,,,,"5.3","0.7","11.3","0.15","OFFICIAL",,"Data could not be retrieved","2019-10-25","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","region_a","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""Import"",""NTSC""]","Kids & Family","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Tva Films","[{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""french"",""type"":""Original Language""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Tva Films","Data could not be retrieved","Data could not be retrieved","Tva Films","2019-10-25","https://m.media-amazon.com/images/I/61VnkRcQFwL.jpg"
"8809466649776","true","1.0","US","AIDFPCF71001","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","[8809466649776]","[8809466649776]","B01LZGCH8M","B07BXCSDTK","false","false","false",,"true","ID","B01LZGCH8M","USPS","3.37","0.0","0",,,,,,,,,,"https://www.amazon.com/dp/B01LZGCH8M?th=1&psc=1","LOW",,"Wireless","391517","Basic Cases","188018",,,,,,,"Out of Stock listing","true","keywords","294834320717","USPS","3.37","12.95","1","16.64",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=294834320717","LOW","57.0","57.0","9.44","1.00","0.87","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,"Spigen","F15CS20912","Clear Crystal","3.18","0.45","6.33","0.06","3.8","0.6","8.1","0.10","OFFICIAL","XL","F15CS20912","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","{""value"":5.5,""unitType"":""inches""}","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""Thermoplastic Polyurethane"",""Polycarbonate""]","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","https://m.media-amazon.com/images/I/41Az9D2bMfL.jpg"
"771171138624","true","1.0","US","AIDWXS812001","WowWee Untamed Dragon – Venom (Green)","WowWee Untamed Dragon – Venom (Green)","[771171138624;00771171138624]","[0771171138624]","B07HJJPBRW",,"false","false","false",,"true","ID","B07HJJPBRW","USPS","3.76","204.8","5","52.62",,"AZDUD8FOESQXH","Park Avenue Goods","43.65","false","false","Data not available","true","https://www.amazon.com/dp/B07HJJPBRW?th=1&psc=1","LOW","59.0","Toy","281276","Action Figures","17871","2","59.0","31.27","15.52","6.24","0.00","Listing price includes shipping","true","keywords","353336702134","USPS","3.76","0.0","0","44.67",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=353336702134","LOW","74.0","74.0","33.13","4.02","1.68","0.00","Displaying lowest price from a high-ranked seller ; Listing identified using keywords ; Listing price includes shipping","false",,,,,,,,,,,,,,,,,,"WowWee","3862","Green","2.31","5.9","4.0","0.22","5.78","2.79","8.66","0.50","OFFICIAL",,"3862","2019-03-01","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","false","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","{""value"":180.0,""unitType"":""months""}","{""value"":60.0,""unitType"":""months""}","Data could not be retrieved","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","Data could not be retrieved","WowWee","Data could not be retrieved","https://m.media-amazon.com/images/I/41+CyocV05L.jpg"
"97363492665","true","1.0","US","Could not identify the product from a valid resource","Eagle Eye (Bilingual) New DVD","ITEM FOR SALE Eagle Eye (Bilingual) New DVD open image in a new tab for full size DESCRIPTION *PLEASE TAKE NOTE OF REGION CODE WHEN ORDERING FROM OUTSIDE OF NORTH AMERICA* PRODUCT DETAILS: Original Title: Eagle Eye (Bilingual) (DVD NEW) Format: DVD Condition: New Aspect: Genre: Action Rating: Actors: Anthony Mackie - Michael Chiklis - Michelle Monagha - Rosario Dawson - Shia LaBeouf Directors: D.J. Caruso Language: English Subtitles: English Subtitles Discs: 1 Region: Region 1 (NTSC) Run Time: 117 minutes SHIPPING INFORMATION: USA CANADA USPS Canada Post Free Shipping $2.50 / item 4-14 Business days 2-6 Business days EUROPE INTERNATIONAL Economy International Economy International $3.75 / Item $7.50 / item 1-3 Weeks for delivey 1-3 Weeks for delivey RETURN INFORMATION: 30 DAYS RETURN POLICY       PAYMENT INFORMATION: ALL PAYMENTS PROCESSED THROUGH EBAY MANAGED PAYMENTS","[97363492665;097363492665]","[0097363492665]",,,"false","false","false","false","true","ID","B001KZN2PY",,,"54.9","5","14.11","14.11",,,,,,"Data not available","true","https://www.amazon.com/dp/B001KZN2PY","LOW","78.0","Dvd","134160","Dvd","134160","2","78.0","10.98","2.12","4.78","0.00",,"true","ID","303109888492",,,"0.0","0","15.40","movieoutlet","https://www.ebay.com/itm/Eagle-Eye-Bilingual-New-DVD-/303109888492","LOW","88.0","88.0","13.57","0.00","0.84","0.00",,"true","ID","962386809",,,"11.27","0","14.92",,,"https://www.walmart.com/ip/962386809","LOW","78.0","78.0","11.68","2.24","0.00",,,,,,,,,,,,"0.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/OTAwWDY0Mg==/z/1m0AAOSwLOZcnHTP/$_1.JPG?set_id=880000500F"
"883929316243","true","1.0","US","Could not identify the product from a valid resource","Gossip Girl: The Complete Sixth and Final Season","Gossip Girl: The Complete Sixth and Final Season","[883929316243]","[0883929316243]","B00AKB8QAU",,"false",,"false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","keywords","204054906969","USPS","3.37","0.0","0","16.64",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=204054906969","UNAVAILABLE","54.0","54.0","8.94","1.50","0.87","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,,,,"5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","2013-02-12","[""Blake Lively"",""Leighton Meester"",""Penn Badgley"",""Chace Crawford"",""Ed Westwick"",""Kaylee Defer"",""Kelly Rutherford"",""Matthew Settle""]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","STANDARD EDITION","Data could not be retrieved","[""NTSC"",""Subtitled""]","Drama","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Warner Bros. Home Video","[{""languageName"":""english"",""type"":""Original Language""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","3","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Warner Bros. Home Video","{""value"":430,""unitType"":""minutes""}","Data could not be retrieved","Warner Bros. Home Video","Data could not be retrieved","https://m.media-amazon.com/images/I/51OBU917CLL.jpg"
"629159043340","true","1.0","US","AID4A3VOC001","In the Beginning","In the Beginning","[629159043340]","[0629159043340]","B003OCJL9C",,"false","false","false",,"true","ID","B003OCJL9C","USPS","3.37","0.0","0",,,"A163VAL4BJLA5N","dvddirectbuys","63.79","false","false",,,"https://www.amazon.com/dp/B003OCJL9C","LOW",,"Dvd","361693","Dvd","361693",,,,,,,"Out of Stock listing","true","keywords","123786992799","USPS","3.37","14.99","3","6.41",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=123786992799","LOW","-1.0","-1.0","-0.06","0.58","0.57","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,,,,"5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","false","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[{""languageName"":""english"",""type"":""Subtitled""},{""languageName"":""french"",""type"":""Original Language""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/41OAO-VzVnL.jpg"
"33991061231","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"191329083109","true","1.0","US","AIDM04OJ1001","The Sinner: Season Two [DVD]",,"[191329083109]","[0191329083109]","B07GJ4FQV8",,"false","false","false","false","true","ID","B07GJ4FQV8","USPS","3.76","388.78","29","17.16","17.33","ARJ9CR5IBXBH3","Goldstar Tech","17.33","true","true","Data not available","true","https://www.amazon.com/dp/B07GJ4FQV8","LOW","26.0","Dvd","71040","Dvd","71040","11","26.0","4.39","6.94","3.94","0.00","Listing price includes shipping","true","keywords","123897264028","USPS","3.76","40.9","4","11.55",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=123897264028","LOW","34.0","34.0","3.96","1.04","0.72","0.00","Listing identified using keywords","true","ID","139418493","USPS","3.76","53.26","5","11.55",,,"https://www.walmart.com/ip/139418493","LOW","35.0","35.0","3.98","1.73","0.00",,"Universal Studios",,,"7.5","5.4","0.7","0.18","5.43","0.59","7.44","0.26","OFFICIAL",,"Data could not be retrieved","2018-12-18","[""Bill Pullman""]","Data could not be retrieved","1.78:1","NR (Not Rated)","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","DVD","Data could not be retrieved","[""NTSC"",""Subtitled""]","Drama","Data could not be retrieved","false","Data could not be retrieved","Data could not be retrieved","Universal Pictures Home Entertainment","[{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""english"",""type"":""Subtitles for the Hearing Impaired""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","2","2","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Universal Pictures Home Entertainment","{""value"":352.0,""unitType"":""minutes""}","Data could not be retrieved","Universal Pictures Home Entertainment","2018-12-18","https://m.media-amazon.com/images/I/51EdYs6wGpL._SL500_.jpg"
"65935827542","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
