"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in eBay US","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","eBay US Total Sales (USD)","eBay US Estimated Unit Sales Per Month","eBay US Price (USD)","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US % Profit","eBay US Profit (USD)","eBay US Market fee (USD)","eBay US PayPal fee (USD)","eBay US Tax (USD)","eBay US Insights","Brand Name","Model","Color","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Size","Enhanced Data: Part Number","Enhanced Data: Release Date","Enhanced Data: Actors","Enhanced Data: Artists","Enhanced Data: Aspect Ratio","Enhanced Data: Audience Rating","Enhanced Data: Bluray Region","Enhanced Data: Contributors","Enhanced Data: Directors","Enhanced Data: Display Size","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Formats","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Is Adult Product","Enhanced Data: Is Autographed","Enhanced Data: Is Memorabilia","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Manufacturer Maximum Age","Enhanced Data: Manufacturer Minimum Age","Enhanced Data: Material Types","Enhanced Data: Number Of Discs","Enhanced Data: Number Of Items","Enhanced Data: Number Of Pages","Enhanced Data: Operating Systems","Enhanced Data: Pegi Rating","Enhanced Data: Platforms","Enhanced Data: Publication Date","Enhanced Data: Publisher","Enhanced Data: Running Time","Enhanced Data: Scent","Enhanced Data: Studio","Enhanced Data: Theatrical Release Date","Image URL"
"843338100130","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"888235030531","true","1.0","US","AID6FPZ81001","Killerman (La Loi De La Rue)",,"[888235030531]","[0888235030531]","B07Z75PQ6D",,"false","false","true","keywords","165547645192","USPS","3.37","0.0","0","8.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=165547645192","LOW","36.0","36.0","3.25","0.81","0.56","0.00","Listing identified using keywords",,,,,,,,"5.35","0.59","7.17","0.20","OFFICIAL",,"Data could not be retrieved","2019-12-20","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","region_a","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""Import""]","Action & Adventure","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Vvs","[{""languageName"":""english"",""type"":""Subtitled""},{""languageName"":""french"",""type"":""Subtitled""},{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""french"",""type"":""Original Language""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Vvs","Data could not be retrieved","Data could not be retrieved","Vvs","2019-12-20","https://m.media-amazon.com/images/I/51LGizXuo3L._SL500_.jpg"
"24543597087","true","1.0","US","Could not identify the product from a valid resource","The Order (DVD, 2009, 2-Disc Set, Canadian Repackaged)"," R (Restricted) Package Dimensions : 7.1 x 5.42 x 0.58 inches; 2.4 Ounces Director : Brian Helgeland Media Format : NTSC, Widescreen Release date : September 8, 2009 Actors : Heath Ledger, Shannyn Sossamon, Mark Addy, Benno Furmann, Peter Weller Subtitles: : English, Spanish Language : Unqualified (DTS ES 6.1), English (Dolby Surround), French (Dolby Surround), Spanish (Dolby Surround) Studio : 20th Century Fox Home Entertainment","[24543597087;024543597087]",,,,"false","false","true","ID","284310751017","USPS","5.49","10545.1","2703","3.90","https://www.ebay.com/itm/Order-DVD-2009-2-Disc-Set-Canadian-Repackaged-/284310751017","UNAVAILABLE","-77.0","-77.0","-3.00","0.00","0.41","0.00",,,,,,,,,"6.0","1.0","10.0","0.88","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved",
"788687400343","true","1.0","US","AIDH87OB7001","Zendoku - Nintendo DS","Zendoku - Nintendo DS","[788687400343]","[0788687400343]","B000N0WBM2",,"false","false","true","keywords","384749792454","USPS","3.37","0.0","0","14.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=384749792454","LOW","60.0","60.0","8.99","0.90","0.73","0.00","Listing identified using keywords ; Listing price includes shipping","Microsoft","40034",,"5.0","0.75","5.24","0.10","4.9","0.7","5.3","0.10","OFFICIAL",,"40034","2007-06-12","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Standard","Everyone","Data could not be retrieved","Puzzle / Brain Training","Nintendo DS","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Eidos Interactive","[{""languageName"":""english"",""type"":""Unknown""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","1","Data could not be retrieved","[""Nintendo DS""]","unknown","[""Nintendo DS""]","Data could not be retrieved","Eidos Interactive","Data could not be retrieved","Data could not be retrieved","Eidos Interactive","Data could not be retrieved","https://m.media-amazon.com/images/I/61xlOuOZpoL.jpg"
"85391247524","true","1.0","US","Could not identify the product from a valid resource","Lethal Weapon 3 (DVD, Widescreen/Full Screen) NEW","Lethal Weapon 3 (DVD, Widescreen/Full Screen) NEW Don't Forget To Check Out All Our Other DVD / Blu-Ray / TV Show Listings! Your mom loves Free Shipping.  Say what? Yep you heard us. You know she does, we know she does, that’s why it’s free.  Let us break this down for you. You order 2 items, Yep, Free Shipping. You order 4 items, guess what, shipping is $100,  just kidding, still free shipping. We are more than happy to give larger discounts on shipping, but come on, we are no math geniuses, but we are sure you know 75% off free, is still free. Getting your items out within 1 business day is always our goal.  Your mom wants it shipped out fast, and so do we. Our Economy shipping is Free.  We know, you're not always in a hurry to get your stuff, and you want the best price, so economy goes via media mail.  We do have a expedited option, for about the price of a soda, that would get your item sent via First Class mail, that’s right, we ain’t using no second class, or third class like some people on the Titanic.  If you do get a soda instead of paying for First Class shipping, just know, more than likely you won’t receive it before your done drinking your soda. Everyone loves tracking, especially your mom.  We put tracking on everything. Almost all our items are shipped via USPS (hats off to you USPS Man for taking our items cross country for about the price of a gallon a gas).  I know I can’t drive it to you on only a gallon of gas so we leave it up to them to figure out how to do that. Once it is shipped, eBay will email you the tracking number that is like 4 million digits long and if memorized will bring you great knowledge just like Thanos (but please don’t snap your fingers).  This number, when punched into the USPS website, will give you all kinds of info, but once in a blue moon they do miss a scan. (Come on USPS, be more reliable scanning those 600 million pieces of mail a day) I'm only kidding, but we do have to cut them some slack sometimes and wait until your media arrives at the next city to get scanned. Your mom doesn’t want to come here.  So guess what, we will ship your item for free, so you don’t have to come pick it up.  It’s a warehouse. It’s a big metally thing, with nothing pretty about it. We barely enjoy coming here, but for you, we will.  So let us concentrate on what we do best, and that’s shipping your stuff for free. Returns Happen.  We get it. Big Thank You to you because, if you have a return, that means you're our customer.  If you don’t want it for any reason, then quite frankly, we don’t want you to have it. So when you want to return something, please send us a message through ebay before opening a request, we are here to take care of it as quickly as possible.","[85391247524;085391247524]",,,,"false","false","true","ID","133578188774",,,"420.92","84","4.99","https://www.ebay.com/itm/Lethal-Weapon-3-DVD-Widescreen-Full-Screen-NEW-/133578188774","UNAVAILABLE","71.0","71.0","3.55","0.00","0.44","0.00",,,,,,,,,"5.0","0.0","7.0","0.50","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTE1MFgxMDU4/z/0KkAAOSwFHBfso68/$_12.JPG?set_id=880000500F"
"13132643403","true","1.0","US","Could not identify the product from a valid resource","FEAR THE WALKING DEAD: SEASON 1 NEW DVD","Additional Information from Movie Mars Product Description This collection contains all six episodes from the first season of FEAR THE WALKING DEAD, a zombie drama from the creators of THE WALKING DEAD. The series view the zombie apocalypse from the perspective of high school guidance counselor Madison (Kim Dickens), her English teacher boyfriend Travis (Cliff Curtis), and her children, the drug-addicted Nick (Frank Dillane) and straight-A student Alicia (Alycia Debnam-Carey). About Movie Mars All items are Brand New. We offer unbeatable prices, quick shipping times and a wide selection second to none. Purchases come with a 30-day Satisfaction Guarantee (minus Shipping & Handling fees) on all unopened products. All items are from licensed Distributors. We do not deal with any Bootleg or Used items!","[13132643403;013132643403]","[0013132643403]",,,"false","false","true","ID","384586006100",,,"1999.69","133","14.94","https://www.ebay.com/itm/FEAR-WALKING-DEAD-SEASON-1-NEW-DVD-/384586006100","UNAVAILABLE","88.0","88.0","13.21","0.00","0.73","0.00",,,,,,,,,,,,"0.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved",
"672781010006","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8809466649776","true","1.0","US","AIDFPCF71001","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","[8809466649776]","[8809466649776]","B01LZGCH8M","B07BXCSDTK","false","false","true","keywords","294834320717","USPS","3.37","12.95","1","12.95","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=294834320717","LOW","55.0","55.0","7.12","0.78","0.68","0.00","Listing identified using keywords","Spigen","F15CS20912","Clear Crystal","3.18","0.45","6.33","0.06","3.8","0.6","8.1","0.10","OFFICIAL","XL","F15CS20912","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","{""value"":5.5,""unitType"":""inches""}","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""Thermoplastic Polyurethane"",""Polycarbonate""]","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","https://m.media-amazon.com/images/I/41Az9D2bMfL.jpg"
"625828120398","true","1.0","US","AIDQ93VOC001","Delta State - Le Tarot DVD","Delta State - Le Tarot DVD","[625828120398]","[0625828120398]","B000HRMCYI",,"false","false","true","keywords","275342983140","USPS","3.37","0.0","0","21.67","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=275342983140","UNAVAILABLE","67.0","67.0","14.42","1.95","0.93","0.00","Listing identified using keywords ; Listing price includes shipping",,,,,,,"0.20","5.35","0.55","7.48","0.20","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[{""languageName"":""french"",""type"":""Dubbed""}]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51BF1C2Q8VL.jpg"
"680813009966","false","1.0","US","AIDR93VOC001","SNUNGPHIR 2 Pack Screen Protector, 1706H Hardness Full Screen Tempered Glass, Anti-Scratch, Anti-Fingerprint, Bubble Free, High Definition","SNUNGPHIR 2 Pack Screen Protector, 1706H Hardness Full Screen Tempered Glass, Anti-Scratch, Anti-Fingerprint, Bubble Free, High Definition","[680813009966]","[0680813009966]","B08KD1VRDT",,"false",,"false",,,,,,,,,,,,,,,,,"SNUNGPHIR",,,,,,,,,,,,,"TEMPN9","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","https://m.media-amazon.com/images/I/31F2DQPbGNL.jpg"
